,Date,Coefficient,Feature
86,2011-04-01,-0.027540993318150585,caged_saldo_nordeste_1_diff_lag3
87,2011-04-01,0.027740666655396883,MSCI_emerging_log_1_diff_lag4
88,2011-04-01,0.0,base_monetaria_log_1_diff_lag4
89,2011-04-01,-0.033860652261574566,consume_confidence_1_diff_lag4
90,2011-05-01,-0.005563959025569373,MSCI_emerging_log_1_diff
91,2011-05-01,0.0,NOAA_Index_1_diff
92,2011-05-01,-0.0003808384930357108,U_S__Treasury_10_years_nominal_yield_1_diff
93,2011-05-01,0.0,BRL_USD_log_1_diff
94,2011-05-01,0.0,VIX_log_1_diff
95,2011-05-01,-0.0,DXY_log_1_diff
96,2011-05-01,0.0,Ibovespa_log_1_diff
97,2011-05-01,-0.0,Brasil_CDS5Y_log_1_diff
98,2011-05-01,-0.0,crb_metals_log_1_diff
99,2011-05-01,-0.0,var_comercializaveis_bacen_lag1
100,2011-05-01,-0.0,var_administrados_bacen_lag1
101,2011-05-01,-0.0,var_bens_nao_duraveis_bacen_lag1
102,2011-05-01,-0.024068762763909343,DXY_log_1_diff_lag1
103,2011-05-01,0.11221732676792352,DXY_log_1_diff_lag2
104,2011-05-01,0.06152159926285731,caged_saldo_nordeste_1_diff_lag2
105,2011-05-01,-0.016988190168411788,MSCI_emerging_log_1_diff_lag3
106,2011-05-01,0.0,NOAA_Index_1_diff_lag3
107,2011-05-01,0.0,BRL_USD_log_1_diff_lag3
108,2011-05-01,0.0,VIX_log_1_diff_lag3
109,2011-05-01,-0.0,DXY_log_1_diff_lag3
110,2011-05-01,0.0,Ibovespa_log_1_diff_lag3
111,2011-05-01,-0.0,Brasil_CDS5Y_log_1_diff_lag3
112,2011-05-01,0.0,crb_metals_log_1_diff_lag3
113,2011-05-01,0.0,consu_energia_brasil_total_log_1_diff_lag3
114,2011-05-01,-0.0,base_monetaria_log_1_diff_lag3
115,2011-05-01,0.0,caged_saldo_norte_1_diff_lag3
116,2011-05-01,-0.015857669574546835,caged_saldo_nordeste_1_diff_lag3
117,2011-05-01,0.024561416704310425,MSCI_emerging_log_1_diff_lag4
118,2011-05-01,0.0,base_monetaria_log_1_diff_lag4
119,2011-05-01,-0.02859552383826165,consume_confidence_1_diff_lag4
120,2011-06-01,0.001617630024477205,ipca_monitor_8
121,2011-06-01,0.0,ipca_monitor_0
122,2011-06-01,0.0,ipca_focus
123,2011-06-01,-0.0,MSCI_emerging_log_1_diff
124,2011-06-01,0.0,NOAA_Index_1_diff
125,2011-06-01,0.0,U_S__Treasury_10_years_nominal_yield_1_diff
126,2011-06-01,-0.0,BRL_USD_log_1_diff
127,2011-06-01,0.015370527403724982,crb_metals_log_1_diff
128,2011-06-01,0.03172601062585216,consu_energia_outros_log_1_diff_lag1
129,2011-06-01,0.0,U_S__Treasury_2_years_nominal_yield_1_diff_lag2
130,2011-06-01,0.0,U_S__Treasury_10_years_nominal_yield_1_diff_lag2
131,2011-06-01,0.0,BRL_USD_log_1_diff_lag2
132,2011-06-01,-0.0,VIX_log_1_diff_lag2
133,2011-06-01,0.09848915416753533,DXY_log_1_diff_lag2
134,2011-06-01,0.019668065938302007,var_alimentacao_em_domicilio_bacen_lag3
135,2011-06-01,-0.003630879889353944,var_nucleo_ex_alimentacao_energia_exfe_bacen_lag3
136,2011-06-01,-0.0,ibc_br_sa_log_1_diff_lag3
137,2011-06-01,0.03585516288507517,base_monetaria_log_1_diff_lag3
138,2011-06-01,-0.0,consume_confidence_1_diff_lag3
139,2011-06-01,-0.0,caged_saldo_norte_1_diff_lag3
140,2011-06-01,-0.06579848168399492,caged_saldo_nordeste_1_diff_lag3
141,2011-06-01,0.035852496638883576,base_monetaria_log_2_diff_lag3
142,2011-06-01,-0.04318873939684197,PNAD_DESOC_2_diff_lag3
143,2011-06-01,-0.057811536503834526,caged_saldo_norte_1_diff_lag4
144,2011-06-01,-0.0632424766768243,caged_saldo_sudeste_1_diff_lag4
145,2011-06-01,-0.002275919269096758,caged_saldo_sul_1_diff_lag4
146,2011-06-01,-0.08919602103330239,caged_saldo_centro_oeste_1_diff_lag4
147,2011-06-01,-0.05503729416365699,caged_saldo_brasil_1_diff_lag4
148,2011-06-01,0.0,base_monetaria_log_2_diff_lag4
149,2011-06-01,-0.00019893568096936523,PNAD_DESOC_2_diff_lag4
150,2011-07-01,0.048291970666756834,var_ipc_fipe
151,2011-07-01,0.03413380581278949,var_ipc_br
152,2011-07-01,0.0,ipca_monitor_1
153,2011-07-01,0.0,ipca_monitor_11
154,2011-07-01,-0.0,ipca_monitor_2
155,2011-07-01,0.0,ipca_monitor_5
156,2011-07-01,-0.0,ipca_monitor_6
157,2011-07-01,0.0,ipca_monitor_9
158,2011-07-01,0.02811382814828786,ipca_monitor_0
159,2011-07-01,0.034563527490086746,ipca_focus
160,2011-07-01,-0.26972962041286963,var_incc_lag1
161,2011-07-01,0.05875948136222088,U_S__Treasury_10_years_nominal_yield_1_diff_lag1
162,2011-07-01,0.114626644539704,crb_metals_log_1_diff_lag1
163,2011-07-01,0.03265693737722304,U_S__Treasury_10_years_nominal_yield_1_diff_lag2
164,2011-07-01,0.027423941413039925,DXY_log_1_diff_lag2
165,2011-07-01,-3.629621890400609e-05,caged_saldo_nordeste_1_diff_lag2
166,2011-07-01,0.031272443613482415,base_monetaria_log_1_diff_lag3
167,2011-07-01,0.03126991807672544,base_monetaria_log_2_diff_lag3
168,2011-07-01,-0.003939118671792694,PNAD_DESOC_2_diff_lag3
169,2011-07-01,0.0,var_bens_nao_duraveis_bacen_lag4
