data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2011-12-01,0.5,0.61,1.15,0.54,1.23,-0.016835593,0.79,0.56,0.0,0.021456587,0.62,0.008411567,-0.1918,0.038302956,-9795,-0.336789311,1.37,0.1979,-0.01028568,0.017162534,0.094903214,-0.132640741,-0.006651381,0.1,0.025542263,0.035461485,-0.09208554,29911,-59540,0.51,0.5
2012-01-01,0.56,0.66,0.68,0.55,0.86,-0.006642407,0.81,0.65,0.69,0.094903214,0.63,0.045655654,-0.0791,0.035461485,-61167,-0.002806221,-2.17,-0.0453,0.010231248,-0.005996572,0.008256776,-0.182290179,0.036325599,0.1,-0.028751553,-0.008072517,-0.132640741,-59540,-9795,0.49,0.56
2012-02-01,0.45,-0.07,-0.03,0.45,0.19,0.019163793,0.24,0.53,-0.33,0.008256776,0.59,-0.004936758,0.1734,-0.008072517,46873,0.262671839,3.45,-0.1918,-0.011965042,-0.01028568,0.014088356,-0.336789311,0.002323666,0.2,-0.04069671,-0.032771811,-0.182290179,-9795,-61167,0.42,0.45
2012-03-01,0.21,0.15,0.21,0.42,0.25,0.032881664,0.6,0.25,0.16,0.014088356,0.51,0.021723357,0.2383,-0.032771811,-15405,0.56091684,2.81,-0.0791,0.016283178,0.010231248,0.025542263,-0.002806221,0.010888614,0.1,0.043097672,0.019536191,-0.336789311,-61167,46873,0.62,0.21
2012-04-01,0.64,0.47,0.62,0.58,0.51,-0.009741169,0.52,0.43,0.1,0.025542263,0.22,0.062900907,-0.2951,0.019536191,-23220,0.207494173,0.16,0.1734,0.045609303,-0.011965042,-0.028751553,0.262671839,0.020557849,0.1,0.034480363,-0.001278422,-0.002806221,46873,-15405,0.63,0.64
2012-05-01,0.36,0.35,0.83,0.46,0.73,0.056683174,0.52,0.51,-0.58,-0.028751553,0.69,-0.026057762,-0.3559,-0.001278422,27906,-0.1,11.85,0.2383,-0.016367063,0.016283178,-0.04069671,0.56091684,0.008859284,0.2,0.068716498,0.010181906,0.262671839,-15405,-23220,0.59,0.36
2012-06-01,0.08,0.23,0.67,0.16,0.68,-0.033965342,0.11,0.18,-1.18,-0.04069671,0.37,-0.066173463,0.0871,0.010181906,13984,-0.2,-5.76,-0.2951,-0.031711344,0.045609303,0.043097672,0.207494173,-0.017698728,0.3,0.031491772,0.037110339,0.56091684,-23220,27906,0.51,0.08
2012-07-01,0.43,0.13,0.79,0.34,0.91,-0.040704489,0.22,0.33,-0.03,0.043097672,0.06,-0.021262318,-0.177,0.037110339,13376,-0.1,0.57,-0.3559,-0.007690458,-0.016367063,0.034480363,-0.1,0.007766854,0.2,-0.011248368,-0.009633142,0.207494173,27906,13984,0.22,0.43
2012-08-01,0.41,0.27,0.89,0.38,0.88,0.007629237,0.44,0.39,0.06,0.034480363,0.51,-0.040444002,0.0805,-0.009633142,-1252,-0.1,-1.94,0.0871,-0.016868369,-0.031711344,0.068716498,-0.2,-0.001724151,0.2,-0.000411185,-0.015072544,-0.1,13984,13376,0.69,0.41
2012-09-01,0.57,0.55,1.7,0.53,1.26,-0.03506901,0.54,0.48,-0.08,0.068716498,0.5,0.043781311,0.0851,-0.015072544,8434,-0.1,-0.7,-0.177,0.034560261,-0.007690458,0.031491772,-0.1,0.020923648,0.0,-0.000389618,-0.020578343,-0.2,13376,-1252,0.37,0.57
