,lags,params,mean_squared_error,max_depth,n_estimators
350,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 15, 'n_estimators': 150}",0.010450663768115948,15,150
346,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 10, 'n_estimators': 150}",0.010450663768115948,10,150
377,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 100}",0.010451769565217395,10,100
381,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 15, 'n_estimators': 100}",0.010451769565217395,15,100
237,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 15, 'n_estimators': 100}",0.010480193043478261,15,100
233,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 10, 'n_estimators': 100}",0.010480193043478261,10,100
380,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 15, 'n_estimators': 50}",0.01048290666666666,15,50
376,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 50}",0.01048290666666666,10,50
313,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 10, 'n_estimators': 100}",0.010488652173913047,10,100
317,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 100}",0.010488652173913047,15,100
193,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 3, 'n_estimators': 100}",0.010493951116511534,3,100
220,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 15, 'n_estimators': 50}",0.01049905913043478,15,50
216,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 50}",0.01049905913043478,10,50
324,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 5, 'n_estimators': 50}",0.010506098555772609,5,50
298,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 10, 'n_estimators': 150}",0.01053984070853462,10,150
302,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 15, 'n_estimators': 150}",0.01053984070853462,15,150
301,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 15, 'n_estimators': 100}",0.010540732608695653,15,100
297,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 10, 'n_estimators': 100}",0.010540732608695653,10,100
17,[1 2],"{'max_depth': 3, 'n_estimators': 100}",0.010544389849913167,3,100
326,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 5, 'n_estimators': 150}",0.010559161876652763,5,150
194,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 3, 'n_estimators': 150}",0.010568991402114087,3,150
325,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 5, 'n_estimators': 100}",0.01059517040840948,5,100
348,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 15, 'n_estimators': 50}",0.010596918260869562,15,50
344,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 10, 'n_estimators': 50}",0.010596918260869562,10,50
120,[1 2 3 4 5 6 7 8],"{'max_depth': 10, 'n_estimators': 50}",0.010598326956521732,10,50
124,[1 2 3 4 5 6 7 8],"{'max_depth': 15, 'n_estimators': 50}",0.010598326956521732,15,50
331,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 10, 'n_estimators': 200}",0.010604548514492749,10,200
335,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 15, 'n_estimators': 200}",0.010604548514492749,15,200
240,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 3, 'n_estimators': 50}",0.010605431060284663,3,50
308,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 5, 'n_estimators': 50}",0.010605968976198202,5,50
311,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 5, 'n_estimators': 200}",0.010607305476776786,5,200
316,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 50}",0.010610014492753618,15,50
312,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 10, 'n_estimators': 50}",0.010610014492753618,10,50
243,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 3, 'n_estimators': 200}",0.010615318234755056,3,200
195,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 3, 'n_estimators': 200}",0.010628597157640118,3,200
363,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 10, 'n_estimators': 200}",0.010661472681159419,10,200
367,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 15, 'n_estimators': 200}",0.010661472681159419,15,200
327,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 5, 'n_estimators': 200}",0.01068211111878271,5,200
374,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 150}",0.010700043325515309,5,150
309,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 5, 'n_estimators': 100}",0.0107031092245988,5,100
343,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 5, 'n_estimators': 200}",0.010713267646329279,5,200
345,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 10, 'n_estimators': 100}",0.010725266521739135,10,100
349,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 15, 'n_estimators': 100}",0.010725266521739135,15,100
256,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 3, 'n_estimators': 50}",0.010749015607348615,3,50
162,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 3, 'n_estimators': 150}",0.010753843170873934,3,150
310,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 5, 'n_estimators': 150}",0.010764358423194108,5,150
359,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 5, 'n_estimators': 200}",0.010782681209842741,5,200
342,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 5, 'n_estimators': 150}",0.010798479779233447,5,150
229,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 5, 'n_estimators': 100}",0.010800321887330667,5,100
163,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 3, 'n_estimators': 200}",0.010819227802130744,3,200
375,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 200}",0.010831233948687754,5,200
382,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 15, 'n_estimators': 150}",0.010847624991948468,15,150
378,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 150}",0.010847624991948468,10,150
366,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 15, 'n_estimators': 150}",0.010855855974235098,15,150
362,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 10, 'n_estimators': 150}",0.010855855974235098,10,150
67,[1 2 3 4 5],"{'max_depth': 3, 'n_estimators': 200}",0.010867120370137942,3,200
358,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 5, 'n_estimators': 150}",0.010878210924111727,5,150
227,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 3, 'n_estimators': 200}",0.010901278140944628,3,200
226,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 3, 'n_estimators': 150}",0.010907935334928068,3,150
44,[1 2 3],"{'max_depth': 15, 'n_estimators': 50}",0.01092709043478261,15,50
40,[1 2 3],"{'max_depth': 10, 'n_estimators': 50}",0.01092709043478261,10,50
180,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 50}",0.01093142382776352,5,50
83,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 200}",0.010950234040753353,3,200
65,[1 2 3 4 5],"{'max_depth': 3, 'n_estimators': 100}",0.01095437492231263,3,100
66,[1 2 3 4 5],"{'max_depth': 3, 'n_estimators': 150}",0.010983503290030915,3,150
379,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 200}",0.01099516217391304,10,200
383,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 15, 'n_estimators': 200}",0.01099516217391304,15,200
18,[1 2],"{'max_depth': 3, 'n_estimators': 150}",0.010998892481636784,3,150
161,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 3, 'n_estimators': 100}",0.01100122236984413,3,100
361,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 10, 'n_estimators': 100}",0.011006177971014492,10,100
365,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 15, 'n_estimators': 100}",0.011006177971014492,15,100
236,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 15, 'n_estimators': 50}",0.011024294492753616,15,50
232,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 10, 'n_estimators': 50}",0.011024294492753616,10,50
64,[1 2 3 4 5],"{'max_depth': 3, 'n_estimators': 50}",0.011028617504036886,3,50
188,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 15, 'n_estimators': 50}",0.011038828985507242,15,50
184,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 50}",0.011038828985507242,10,50
146,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 3, 'n_estimators': 150}",0.011056434037893175,3,150
145,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 3, 'n_estimators': 100}",0.011059200709142703,3,100
81,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 100}",0.011060969212193338,3,100
16,[1 2],"{'max_depth': 3, 'n_estimators': 50}",0.011063558302674859,3,50
19,[1 2],"{'max_depth': 3, 'n_estimators': 200}",0.011066919211900743,3,200
144,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 3, 'n_estimators': 50}",0.011068961366612147,3,50
33,[1 2 3],"{'max_depth': 3, 'n_estimators': 100}",0.011071804319317044,3,100
178,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 150}",0.011091352943934745,3,150
320,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 3, 'n_estimators': 50}",0.011094709877145796,3,50
275,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 3, 'n_estimators': 200}",0.011097641665528332,3,200
115,[1 2 3 4 5 6 7 8],"{'max_depth': 3, 'n_estimators': 200}",0.011102050714329844,3,200
357,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 5, 'n_estimators': 100}",0.011112485479793141,5,100
209,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 3, 'n_estimators': 100}",0.011118131161080527,3,100
34,[1 2 3],"{'max_depth': 3, 'n_estimators': 150}",0.01112878634133634,3,150
147,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 3, 'n_estimators': 200}",0.011129991726152765,3,200
35,[1 2 3],"{'max_depth': 3, 'n_estimators': 200}",0.011131329265883139,3,200
259,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 3, 'n_estimators': 200}",0.011137956755783582,3,200
114,[1 2 3 4 5 6 7 8],"{'max_depth': 3, 'n_estimators': 150}",0.011146917511592684,3,150
82,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 150}",0.011160706970737223,3,150
179,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 200}",0.0111720807099689,3,200
1,[1],"{'max_depth': 3, 'n_estimators': 100}",0.011180352536200706,3,100
211,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 3, 'n_estimators': 200}",0.011180555864669985,3,200
288,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 3, 'n_estimators': 50}",0.011187593999234113,3,50
272,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 3, 'n_estimators': 50}",0.011197289174588516,3,50
274,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 3, 'n_estimators': 150}",0.01120827730121471,3,150
291,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 3, 'n_estimators': 200}",0.0112105648317028,3,200
340,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 5, 'n_estimators': 50}",0.011213447905936856,5,50
258,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 3, 'n_estimators': 150}",0.011216793297133392,3,150
210,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 3, 'n_estimators': 150}",0.01121955654051167,3,150
341,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 5, 'n_estimators': 100}",0.011227978178513712,5,100
96,[1 2 3 4 5 6 7],"{'max_depth': 3, 'n_estimators': 50}",0.011244869196647819,3,50
257,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 3, 'n_estimators': 100}",0.011248027360293069,3,100
273,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 3, 'n_estimators': 100}",0.011248954538906557,3,100
129,[1 2 3 4 5 6 7 8 9],"{'max_depth': 3, 'n_estimators': 100}",0.0112592426371247,3,100
289,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 3, 'n_estimators': 100}",0.011271524701231805,3,100
322,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 3, 'n_estimators': 150}",0.01127392986403673,3,150
356,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 5, 'n_estimators': 50}",0.011275904010050339,5,50
177,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 100}",0.011276289081562267,3,100
3,[1],"{'max_depth': 3, 'n_estimators': 200}",0.011277186231392957,3,200
131,[1 2 3 4 5 6 7 8 9],"{'max_depth': 3, 'n_estimators': 200}",0.011278483365616373,3,200
360,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 10, 'n_estimators': 50}",0.011281675362318834,10,50
364,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 15, 'n_estimators': 50}",0.011281675362318834,15,50
225,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 3, 'n_estimators': 100}",0.011282192348950806,3,100
2,[1],"{'max_depth': 3, 'n_estimators': 150}",0.011286996144887054,3,150
290,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 3, 'n_estimators': 150}",0.01130482960616845,3,150
160,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 3, 'n_estimators': 50}",0.011306020185049913,3,50
305,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 3, 'n_estimators': 100}",0.011308284959889775,3,100
99,[1 2 3 4 5 6 7],"{'max_depth': 3, 'n_estimators': 200}",0.011323598843626449,3,200
97,[1 2 3 4 5 6 7],"{'max_depth': 3, 'n_estimators': 100}",0.011338833413082158,3,100
50,[1 2 3 4],"{'max_depth': 3, 'n_estimators': 150}",0.011347103493926265,3,150
112,[1 2 3 4 5 6 7 8],"{'max_depth': 3, 'n_estimators': 50}",0.01136282151264103,3,50
130,[1 2 3 4 5 6 7 8 9],"{'max_depth': 3, 'n_estimators': 150}",0.011370233661014924,3,150
51,[1 2 3 4],"{'max_depth': 3, 'n_estimators': 200}",0.01137789098461482,3,200
306,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 3, 'n_estimators': 150}",0.011403240482308074,3,150
228,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 5, 'n_estimators': 50}",0.01140447664975238,5,50
307,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 3, 'n_estimators': 200}",0.0114297356706624,3,200
323,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 3, 'n_estimators': 200}",0.011450004994295725,3,200
355,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 3, 'n_estimators': 200}",0.011463559956271544,3,200
80,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 50}",0.011464478832587534,3,50
98,[1 2 3 4 5 6 7],"{'max_depth': 3, 'n_estimators': 150}",0.011499595119662016,3,150
113,[1 2 3 4 5 6 7 8],"{'max_depth': 3, 'n_estimators': 100}",0.011516502730630901,3,100
321,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 3, 'n_estimators': 100}",0.011526982741537802,3,100
339,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 3, 'n_estimators': 200}",0.01154980686218673,3,200
0,[1],"{'max_depth': 3, 'n_estimators': 50}",0.011595811988869557,3,50
354,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 3, 'n_estimators': 150}",0.011602597458771425,3,150
338,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 3, 'n_estimators': 150}",0.011651173997672456,3,150
304,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 3, 'n_estimators': 50}",0.011658507121278815,3,50
128,[1 2 3 4 5 6 7 8 9],"{'max_depth': 3, 'n_estimators': 50}",0.011744430029143145,3,50
48,[1 2 3 4],"{'max_depth': 3, 'n_estimators': 50}",0.01174693595254673,3,50
49,[1 2 3 4],"{'max_depth': 3, 'n_estimators': 100}",0.01175164388161267,3,100
32,[1 2 3],"{'max_depth': 3, 'n_estimators': 50}",0.01175862147182772,3,50
369,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 100}",0.011787375968607636,3,100
353,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 3, 'n_estimators': 100}",0.011844673869887445,3,100
208,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 3, 'n_estimators': 50}",0.011847457782278104,3,50
337,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 3, 'n_estimators': 100}",0.011904325478129134,3,100
368,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 50}",0.011978810239269107,3,50
224,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 3, 'n_estimators': 50}",0.011997174524979079,3,50
336,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 3, 'n_estimators': 50}",0.012012815975331688,3,50
352,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],"{'max_depth': 3, 'n_estimators': 50}",0.012031658207018394,3,50
370,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 150}",0.012048598587667457,3,150
371,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 200}",0.012125568693500899,3,200
176,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 50}",0.012165684520396939,3,50
