,lags,params,mean_squared_error,max_depth,n_estimators
247,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 5, 'n_estimators': 200}",0.009795002450759992,5,200
166,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 5, 'n_estimators': 150}",0.009795050714613063,5,150
117,[1 2 3 4 5 6 7 8],"{'max_depth': 5, 'n_estimators': 100}",0.009796994684961377,5,100
22,[1 2],"{'max_depth': 5, 'n_estimators': 150}",0.009797271599532774,5,150
26,[1 2],"{'max_depth': 10, 'n_estimators': 150}",0.009803305249597426,10,150
30,[1 2],"{'max_depth': 15, 'n_estimators': 150}",0.009803305249597426,15,150
201,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 10, 'n_estimators': 100}",0.009806966956521742,10,100
205,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 15, 'n_estimators': 100}",0.009814129275362321,15,100
54,[1 2 3 4],"{'max_depth': 5, 'n_estimators': 150}",0.00983259070540519,5,150
119,[1 2 3 4 5 6 7 8],"{'max_depth': 5, 'n_estimators': 200}",0.0098338301583715,5,200
203,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 10, 'n_estimators': 200}",0.009834307355072463,10,200
207,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 15, 'n_estimators': 200}",0.009837900398550726,15,200
23,[1 2],"{'max_depth': 5, 'n_estimators': 200}",0.00984569700094553,5,200
31,[1 2],"{'max_depth': 15, 'n_estimators': 200}",0.0098462575,15,200
27,[1 2],"{'max_depth': 10, 'n_estimators': 200}",0.009846592246376814,10,200
202,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 10, 'n_estimators': 150}",0.009858236392914655,10,150
87,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 200}",0.009861458022684509,5,200
